case_id,modality,filename,z,y,x,spacing_x,spacing_y,spacing_z
AB_1ABA060,CT,AB_1ABA060_CT_reg.nii.gz,94,341,425,1.0,1.0,3.0
AB_1ABA060,MR,AB_1ABA060_MR.nii.gz,94,341,425,1.0,1.0,3.0
AB_1ABA060,MASK,AB_1ABA060_mask.nii.gz,94,341,425,1.0,1.0,3.0
AB_1ABA061,CT,AB_1ABA061_CT_reg.nii.gz,52,347,461,1.0,1.0,3.0
AB_1ABA061,MR,AB_1ABA061_MR.nii.gz,52,347,461,1.0,1.0,3.0
AB_1ABA061,MASK,AB_1ABA061_mask.nii.gz,52,347,461,1.0,1.0,3.0
AB_1ABA062,CT,AB_1ABA062_CT_reg.nii.gz,93,346,465,1.0,1.0,3.0
AB_1ABA062,MR,AB_1ABA062_MR.nii.gz,93,346,465,1.0,1.0,3.0
AB_1ABA062,MASK,AB_1ABA062_mask.nii.gz,93,346,465,1.0,1.0,3.0
AB_1ABA063,CT,AB_1ABA063_CT_reg.nii.gz,56,344,462,1.0,1.0,3.0
AB_1ABA063,MR,AB_1ABA063_MR.nii.gz,56,344,462,1.0,1.0,3.0
AB_1ABA063,MASK,AB_1ABA063_mask.nii.gz,56,344,462,1.0,1.0,3.0
AB_1ABA065,CT,AB_1ABA065_CT_reg.nii.gz,99,352,469,1.0,1.0,3.0
AB_1ABA065,MR,AB_1ABA065_MR.nii.gz,99,352,469,1.0,1.0,3.0
AB_1ABA065,MASK,AB_1ABA065_mask.nii.gz,99,352,469,1.0,1.0,3.0
AB_1ABA067,CT,AB_1ABA067_CT_reg.nii.gz,60,341,461,1.0,1.0,3.0
AB_1ABA067,MR,AB_1ABA067_MR.nii.gz,60,341,461,1.0,1.0,3.0
AB_1ABA067,MASK,AB_1ABA067_mask.nii.gz,60,341,461,1.0,1.0,3.0
AB_1ABA068,CT,AB_1ABA068_CT_reg.nii.gz,106,342,462,1.0,1.0,3.0
AB_1ABA068,MR,AB_1ABA068_MR.nii.gz,106,342,462,1.0,1.0,3.0
AB_1ABA068,MASK,AB_1ABA068_mask.nii.gz,106,342,462,1.0,1.0,3.0
AB_1ABA070,CT,AB_1ABA070_CT_reg.nii.gz,71,436,465,1.0,1.0,3.0
AB_1ABA070,MR,AB_1ABA070_MR.nii.gz,71,436,465,1.0,1.0,3.0
AB_1ABA070,MASK,AB_1ABA070_mask.nii.gz,71,436,465,1.0,1.0,3.0
AB_1ABA071,CT,AB_1ABA071_CT_reg.nii.gz,65,490,499,1.0,1.0,3.0
AB_1ABA071,MR,AB_1ABA071_MR.nii.gz,65,490,499,1.0,1.0,3.0
AB_1ABA071,MASK,AB_1ABA071_mask.nii.gz,65,490,499,1.0,1.0,3.0
AB_1ABA072,CT,AB_1ABA072_CT_reg.nii.gz,79,483,497,1.0,1.0,3.0
AB_1ABA072,MR,AB_1ABA072_MR.nii.gz,79,483,497,1.0,1.0,3.0
AB_1ABA072,MASK,AB_1ABA072_mask.nii.gz,79,483,497,1.0,1.0,3.0
AB_1ABA073,CT,AB_1ABA073_CT_reg.nii.gz,67,458,462,1.0,1.0,3.0
AB_1ABA073,MR,AB_1ABA073_MR.nii.gz,67,458,462,1.0,1.0,3.0
AB_1ABA073,MASK,AB_1ABA073_mask.nii.gz,67,458,462,1.0,1.0,3.0
AB_1ABA074,CT,AB_1ABA074_CT_reg.nii.gz,102,496,511,1.0,1.0,3.0
AB_1ABA074,MR,AB_1ABA074_MR.nii.gz,102,496,511,1.0,1.0,3.0
AB_1ABA074,MASK,AB_1ABA074_mask.nii.gz,102,496,511,1.0,1.0,3.0
AB_1ABA080,CT,AB_1ABA080_CT_reg.nii.gz,101,484,485,1.0,1.0,3.0
AB_1ABA080,MR,AB_1ABA080_MR.nii.gz,101,484,485,1.0,1.0,3.0
AB_1ABA080,MASK,AB_1ABA080_mask.nii.gz,101,484,485,1.0,1.0,3.0
AB_1ABA081,CT,AB_1ABA081_CT_reg.nii.gz,95,468,478,1.0,1.0,3.0
AB_1ABA081,MR,AB_1ABA081_MR.nii.gz,95,468,478,1.0,1.0,3.0
AB_1ABA081,MASK,AB_1ABA081_mask.nii.gz,95,468,478,1.0,1.0,3.0
AB_1ABA082,CT,AB_1ABA082_CT_reg.nii.gz,64,444,482,1.0,1.0,3.0
AB_1ABA082,MR,AB_1ABA082_MR.nii.gz,64,444,482,1.0,1.0,3.0
AB_1ABA082,MASK,AB_1ABA082_mask.nii.gz,64,444,482,1.0,1.0,3.0
AB_1ABA084,CT,AB_1ABA084_CT_reg.nii.gz,109,463,473,1.0,1.0,3.0
AB_1ABA084,MR,AB_1ABA084_MR.nii.gz,109,463,473,1.0,1.0,3.0
AB_1ABA084,MASK,AB_1ABA084_mask.nii.gz,109,463,473,1.0,1.0,3.0
AB_1ABA085,CT,AB_1ABA085_CT_reg.nii.gz,90,483,487,1.0,1.0,3.0
AB_1ABA085,MR,AB_1ABA085_MR.nii.gz,90,483,487,1.0,1.0,3.0
AB_1ABA085,MASK,AB_1ABA085_mask.nii.gz,90,483,487,1.0,1.0,3.0
AB_1ABA086,CT,AB_1ABA086_CT_reg.nii.gz,96,454,487,1.0,1.0,3.0
AB_1ABA086,MR,AB_1ABA086_MR.nii.gz,96,454,487,1.0,1.0,3.0
AB_1ABA086,MASK,AB_1ABA086_mask.nii.gz,96,454,487,1.0,1.0,3.0
AB_1ABA087,CT,AB_1ABA087_CT_reg.nii.gz,98,448,492,1.0,1.0,3.0
AB_1ABA087,MR,AB_1ABA087_MR.nii.gz,98,448,492,1.0,1.0,3.0
AB_1ABA087,MASK,AB_1ABA087_mask.nii.gz,98,448,492,1.0,1.0,3.0
AB_1ABA092,CT,AB_1ABA092_CT_reg.nii.gz,107,482,484,1.0,1.0,3.0
AB_1ABA092,MR,AB_1ABA092_MR.nii.gz,107,482,484,1.0,1.0,3.0
AB_1ABA092,MASK,AB_1ABA092_mask.nii.gz,107,482,484,1.0,1.0,3.0
AB_1ABA094,CT,AB_1ABA094_CT_reg.nii.gz,104,465,480,1.0,1.0,3.0
AB_1ABA094,MR,AB_1ABA094_MR.nii.gz,104,465,480,1.0,1.0,3.0
AB_1ABA094,MASK,AB_1ABA094_mask.nii.gz,104,465,480,1.0,1.0,3.0
AB_1ABA095,CT,AB_1ABA095_CT_reg.nii.gz,97,465,481,1.0,1.0,3.0
AB_1ABA095,MR,AB_1ABA095_MR.nii.gz,97,465,481,1.0,1.0,3.0
AB_1ABA095,MASK,AB_1ABA095_mask.nii.gz,97,465,481,1.0,1.0,3.0
AB_1ABA097,CT,AB_1ABA097_CT_reg.nii.gz,99,336,481,1.0,1.0,3.0
AB_1ABA097,MR,AB_1ABA097_MR.nii.gz,99,336,481,1.0,1.0,3.0
AB_1ABA097,MASK,AB_1ABA097_mask.nii.gz,99,336,481,1.0,1.0,3.0
AB_1ABA098,CT,AB_1ABA098_CT_reg.nii.gz,104,441,481,1.0,1.0,3.0
AB_1ABA098,MR,AB_1ABA098_MR.nii.gz,104,441,481,1.0,1.0,3.0
AB_1ABA098,MASK,AB_1ABA098_mask.nii.gz,104,441,481,1.0,1.0,3.0
AB_1ABA099,CT,AB_1ABA099_CT_reg.nii.gz,88,422,484,1.0,1.0,3.0
AB_1ABA099,MR,AB_1ABA099_MR.nii.gz,88,422,484,1.0,1.0,3.0
AB_1ABA099,MASK,AB_1ABA099_mask.nii.gz,88,422,484,1.0,1.0,3.0
AB_1ABA101,CT,AB_1ABA101_CT_reg.nii.gz,105,437,485,1.0,1.0,3.0
AB_1ABA101,MR,AB_1ABA101_MR.nii.gz,105,437,485,1.0,1.0,3.0
AB_1ABA101,MASK,AB_1ABA101_mask.nii.gz,105,437,485,1.0,1.0,3.0
AB_1ABA102,CT,AB_1ABA102_CT_reg.nii.gz,84,426,483,1.0,1.0,3.0
AB_1ABA102,MR,AB_1ABA102_MR.nii.gz,84,426,483,1.0,1.0,3.0
AB_1ABA102,MASK,AB_1ABA102_mask.nii.gz,84,426,483,1.0,1.0,3.0
AB_1ABA103,CT,AB_1ABA103_CT_reg.nii.gz,85,393,458,1.0,1.0,3.0
AB_1ABA103,MR,AB_1ABA103_MR.nii.gz,85,393,458,1.0,1.0,3.0
AB_1ABA103,MASK,AB_1ABA103_mask.nii.gz,85,393,458,1.0,1.0,3.0
AB_1ABA104,CT,AB_1ABA104_CT_reg.nii.gz,75,431,486,1.0,1.0,3.0
AB_1ABA104,MR,AB_1ABA104_MR.nii.gz,75,431,486,1.0,1.0,3.0
AB_1ABA104,MASK,AB_1ABA104_mask.nii.gz,75,431,486,1.0,1.0,3.0
AB_1ABA105,CT,AB_1ABA105_CT_reg.nii.gz,73,427,488,1.0,1.0,3.0
AB_1ABA105,MR,AB_1ABA105_MR.nii.gz,73,427,488,1.0,1.0,3.0
AB_1ABA105,MASK,AB_1ABA105_mask.nii.gz,73,427,488,1.0,1.0,3.0
AB_1ABA107,CT,AB_1ABA107_CT_reg.nii.gz,79,352,379,1.0,1.0,3.0
AB_1ABA107,MR,AB_1ABA107_MR.nii.gz,79,352,379,1.0,1.0,3.0
AB_1ABA107,MASK,AB_1ABA107_mask.nii.gz,79,352,379,1.0,1.0,3.0
AB_1ABA108,CT,AB_1ABA108_CT_reg.nii.gz,85,407,496,1.0,1.0,3.0
AB_1ABA108,MR,AB_1ABA108_MR.nii.gz,85,407,496,1.0,1.0,3.0
AB_1ABA108,MASK,AB_1ABA108_mask.nii.gz,85,407,496,1.0,1.0,3.0
AB_1ABA109,CT,AB_1ABA109_CT_reg.nii.gz,89,418,469,1.0,1.0,3.0
AB_1ABA109,MR,AB_1ABA109_MR.nii.gz,89,418,469,1.0,1.0,3.0
AB_1ABA109,MASK,AB_1ABA109_mask.nii.gz,89,418,469,1.0,1.0,3.0
AB_1ABA110,CT,AB_1ABA110_CT_reg.nii.gz,85,366,488,1.0,1.0,3.0
AB_1ABA110,MR,AB_1ABA110_MR.nii.gz,85,366,488,1.0,1.0,3.0
AB_1ABA110,MASK,AB_1ABA110_mask.nii.gz,85,366,488,1.0,1.0,3.0
AB_1ABA111,CT,AB_1ABA111_CT_reg.nii.gz,104,345,446,1.0,1.0,3.0
AB_1ABA111,MR,AB_1ABA111_MR.nii.gz,104,345,446,1.0,1.0,3.0
AB_1ABA111,MASK,AB_1ABA111_mask.nii.gz,104,345,446,1.0,1.0,3.0
AB_1ABA112,CT,AB_1ABA112_CT_reg.nii.gz,69,465,483,1.0,1.0,3.0
AB_1ABA112,MR,AB_1ABA112_MR.nii.gz,69,465,483,1.0,1.0,3.0
AB_1ABA112,MASK,AB_1ABA112_mask.nii.gz,69,465,483,1.0,1.0,3.0
AB_1ABA113,CT,AB_1ABA113_CT_reg.nii.gz,87,441,488,1.0,1.0,3.0
AB_1ABA113,MR,AB_1ABA113_MR.nii.gz,87,441,488,1.0,1.0,3.0
AB_1ABA113,MASK,AB_1ABA113_mask.nii.gz,87,441,488,1.0,1.0,3.0
AB_1ABA114,CT,AB_1ABA114_CT_reg.nii.gz,79,443,477,1.0,1.0,3.0
AB_1ABA114,MR,AB_1ABA114_MR.nii.gz,79,443,477,1.0,1.0,3.0
AB_1ABA114,MASK,AB_1ABA114_mask.nii.gz,79,443,477,1.0,1.0,3.0
AB_1ABA115,CT,AB_1ABA115_CT_reg.nii.gz,87,369,484,1.0,1.0,3.0
AB_1ABA115,MR,AB_1ABA115_MR.nii.gz,87,369,484,1.0,1.0,3.0
AB_1ABA115,MASK,AB_1ABA115_mask.nii.gz,87,369,484,1.0,1.0,3.0
AB_1ABA117,CT,AB_1ABA117_CT_reg.nii.gz,83,380,481,1.0,1.0,3.0
AB_1ABA117,MR,AB_1ABA117_MR.nii.gz,83,380,481,1.0,1.0,3.0
AB_1ABA117,MASK,AB_1ABA117_mask.nii.gz,83,380,481,1.0,1.0,3.0
AB_1ABA118,CT,AB_1ABA118_CT_reg.nii.gz,54,408,494,1.0,1.0,3.0
AB_1ABA118,MR,AB_1ABA118_MR.nii.gz,54,408,494,1.0,1.0,3.0
AB_1ABA118,MASK,AB_1ABA118_mask.nii.gz,54,408,494,1.0,1.0,3.0
AB_1ABA119,CT,AB_1ABA119_CT_reg.nii.gz,90,390,497,1.0,1.0,3.0
AB_1ABA119,MR,AB_1ABA119_MR.nii.gz,90,390,497,1.0,1.0,3.0
AB_1ABA119,MASK,AB_1ABA119_mask.nii.gz,90,390,497,1.0,1.0,3.0
AB_1ABB001,CT,AB_1ABB001_CT_reg.nii.gz,140,439,447,1.0,1.0,3.0
AB_1ABB001,MR,AB_1ABB001_MR.nii.gz,140,439,447,1.0,1.0,3.0
AB_1ABB001,MASK,AB_1ABB001_mask.nii.gz,140,439,447,1.0,1.0,3.0
AB_1ABB002,CT,AB_1ABB002_CT_reg.nii.gz,138,439,440,1.0,1.0,3.0
AB_1ABB002,MR,AB_1ABB002_MR.nii.gz,138,439,440,1.0,1.0,3.0
AB_1ABB002,MASK,AB_1ABB002_mask.nii.gz,138,439,440,1.0,1.0,3.0
AB_1ABB004,CT,AB_1ABB004_CT_reg.nii.gz,94,491,494,1.0,1.0,3.0
AB_1ABB004,MR,AB_1ABB004_MR.nii.gz,94,491,494,1.0,1.0,3.0
AB_1ABB004,MASK,AB_1ABB004_mask.nii.gz,94,491,494,1.0,1.0,3.0
AB_1ABB006,CT,AB_1ABB006_CT_reg.nii.gz,164,493,498,1.0,1.0,3.0
AB_1ABB006,MR,AB_1ABB006_MR.nii.gz,164,493,498,1.0,1.0,3.0
AB_1ABB006,MASK,AB_1ABB006_mask.nii.gz,164,493,498,1.0,1.0,3.0
AB_1ABB008,CT,AB_1ABB008_CT_reg.nii.gz,108,439,448,1.0,1.0,3.0
AB_1ABB008,MR,AB_1ABB008_MR.nii.gz,108,439,448,1.0,1.0,3.0
AB_1ABB008,MASK,AB_1ABB008_mask.nii.gz,108,439,448,1.0,1.0,3.0
AB_1ABB009,CT,AB_1ABB009_CT_reg.nii.gz,116,455,449,1.0,1.0,3.0
AB_1ABB009,MR,AB_1ABB009_MR.nii.gz,116,455,449,1.0,1.0,3.0
AB_1ABB009,MASK,AB_1ABB009_mask.nii.gz,116,455,449,1.0,1.0,3.0
AB_1ABB010,CT,AB_1ABB010_CT_reg.nii.gz,115,440,437,1.0,1.0,3.0
AB_1ABB010,MR,AB_1ABB010_MR.nii.gz,115,440,437,1.0,1.0,3.0
AB_1ABB010,MASK,AB_1ABB010_mask.nii.gz,115,440,437,1.0,1.0,3.0
AB_1ABB011,CT,AB_1ABB011_CT_reg.nii.gz,94,493,495,1.0,1.0,3.0
AB_1ABB011,MR,AB_1ABB011_MR.nii.gz,94,493,495,1.0,1.0,3.0
AB_1ABB011,MASK,AB_1ABB011_mask.nii.gz,94,493,495,1.0,1.0,3.0
AB_1ABB020,CT,AB_1ABB020_CT_reg.nii.gz,105,455,447,1.0,1.0,3.0
AB_1ABB020,MR,AB_1ABB020_MR.nii.gz,105,455,447,1.0,1.0,3.0
AB_1ABB020,MASK,AB_1ABB020_mask.nii.gz,105,455,447,1.0,1.0,3.0
AB_1ABB021,CT,AB_1ABB021_CT_reg.nii.gz,92,490,486,1.0,1.0,3.0
AB_1ABB021,MR,AB_1ABB021_MR.nii.gz,92,490,486,1.0,1.0,3.0
AB_1ABB021,MASK,AB_1ABB021_mask.nii.gz,92,490,486,1.0,1.0,3.0
AB_1ABB024,CT,AB_1ABB024_CT_reg.nii.gz,109,444,454,1.0,1.0,3.0
AB_1ABB024,MR,AB_1ABB024_MR.nii.gz,109,444,454,1.0,1.0,3.0
AB_1ABB024,MASK,AB_1ABB024_mask.nii.gz,109,444,454,1.0,1.0,3.0
AB_1ABB025,CT,AB_1ABB025_CT_reg.nii.gz,97,504,500,1.0,1.0,3.0
AB_1ABB025,MR,AB_1ABB025_MR.nii.gz,97,504,500,1.0,1.0,3.0
AB_1ABB025,MASK,AB_1ABB025_mask.nii.gz,97,504,500,1.0,1.0,3.0
AB_1ABB029,CT,AB_1ABB029_CT_reg.nii.gz,110,500,540,1.0,1.0,3.0
AB_1ABB029,MR,AB_1ABB029_MR.nii.gz,110,500,540,1.0,1.0,3.0
AB_1ABB029,MASK,AB_1ABB029_mask.nii.gz,110,500,540,1.0,1.0,3.0
AB_1ABB030,CT,AB_1ABB030_CT_reg.nii.gz,116,449,445,1.0,1.0,3.0
AB_1ABB030,MR,AB_1ABB030_MR.nii.gz,116,449,445,1.0,1.0,3.0
AB_1ABB030,MASK,AB_1ABB030_mask.nii.gz,116,449,445,1.0,1.0,3.0
AB_1ABB031,CT,AB_1ABB031_CT_reg.nii.gz,114,390,387,1.0,1.0,3.0
AB_1ABB031,MR,AB_1ABB031_MR.nii.gz,114,390,387,1.0,1.0,3.0
AB_1ABB031,MASK,AB_1ABB031_mask.nii.gz,114,390,387,1.0,1.0,3.0
AB_1ABB034,CT,AB_1ABB034_CT_reg.nii.gz,157,453,446,1.0,1.0,3.0
AB_1ABB034,MR,AB_1ABB034_MR.nii.gz,157,453,446,1.0,1.0,3.0
AB_1ABB034,MASK,AB_1ABB034_mask.nii.gz,157,453,446,1.0,1.0,3.0
AB_1ABB035,CT,AB_1ABB035_CT_reg.nii.gz,121,444,441,1.0,1.0,3.0
AB_1ABB035,MR,AB_1ABB035_MR.nii.gz,121,444,441,1.0,1.0,3.0
AB_1ABB035,MASK,AB_1ABB035_mask.nii.gz,121,444,441,1.0,1.0,3.0
AB_1ABB036,CT,AB_1ABB036_CT_reg.nii.gz,101,507,540,1.0,1.0,3.0
AB_1ABB036,MR,AB_1ABB036_MR.nii.gz,101,507,540,1.0,1.0,3.0
AB_1ABB036,MASK,AB_1ABB036_mask.nii.gz,101,507,540,1.0,1.0,3.0
AB_1ABB037,CT,AB_1ABB037_CT_reg.nii.gz,106,450,448,1.0,1.0,3.0
AB_1ABB037,MR,AB_1ABB037_MR.nii.gz,106,450,448,1.0,1.0,3.0
AB_1ABB037,MASK,AB_1ABB037_mask.nii.gz,106,450,448,1.0,1.0,3.0
AB_1ABB039,CT,AB_1ABB039_CT_reg.nii.gz,120,447,449,1.0,1.0,3.0
AB_1ABB039,MR,AB_1ABB039_MR.nii.gz,120,447,449,1.0,1.0,3.0
AB_1ABB039,MASK,AB_1ABB039_mask.nii.gz,120,447,449,1.0,1.0,3.0
AB_1ABB040,CT,AB_1ABB040_CT_reg.nii.gz,134,527,587,1.0,1.0,3.0
AB_1ABB040,MR,AB_1ABB040_MR.nii.gz,134,527,587,1.0,1.0,3.0
AB_1ABB040,MASK,AB_1ABB040_mask.nii.gz,134,527,587,1.0,1.0,3.0
AB_1ABB041,CT,AB_1ABB041_CT_reg.nii.gz,146,444,443,1.0,1.0,3.0
AB_1ABB041,MR,AB_1ABB041_MR.nii.gz,146,444,443,1.0,1.0,3.0
AB_1ABB041,MASK,AB_1ABB041_mask.nii.gz,146,444,443,1.0,1.0,3.0
AB_1ABB042,CT,AB_1ABB042_CT_reg.nii.gz,90,441,446,1.0,1.0,3.0
AB_1ABB042,MR,AB_1ABB042_MR.nii.gz,90,441,446,1.0,1.0,3.0
AB_1ABB042,MASK,AB_1ABB042_mask.nii.gz,90,441,446,1.0,1.0,3.0
AB_1ABB043,CT,AB_1ABB043_CT_reg.nii.gz,93,489,489,1.0,1.0,3.0
AB_1ABB043,MR,AB_1ABB043_MR.nii.gz,93,489,489,1.0,1.0,3.0
AB_1ABB043,MASK,AB_1ABB043_mask.nii.gz,93,489,489,1.0,1.0,3.0
AB_1ABB044,CT,AB_1ABB044_CT_reg.nii.gz,120,446,446,1.0,1.0,3.0
AB_1ABB044,MR,AB_1ABB044_MR.nii.gz,120,446,446,1.0,1.0,3.0
AB_1ABB044,MASK,AB_1ABB044_mask.nii.gz,120,446,446,1.0,1.0,3.0
AB_1ABB045,CT,AB_1ABB045_CT_reg.nii.gz,133,505,549,1.0,1.0,3.0
AB_1ABB045,MR,AB_1ABB045_MR.nii.gz,133,505,549,1.0,1.0,3.0
AB_1ABB045,MASK,AB_1ABB045_mask.nii.gz,133,505,549,1.0,1.0,3.0
AB_1ABB046,CT,AB_1ABB046_CT_reg.nii.gz,148,448,453,1.0,1.0,3.0
AB_1ABB046,MR,AB_1ABB046_MR.nii.gz,148,448,453,1.0,1.0,3.0
AB_1ABB046,MASK,AB_1ABB046_mask.nii.gz,148,448,453,1.0,1.0,3.0
AB_1ABB047,CT,AB_1ABB047_CT_reg.nii.gz,151,463,464,1.0,1.0,3.0
AB_1ABB047,MR,AB_1ABB047_MR.nii.gz,151,463,464,1.0,1.0,3.0
AB_1ABB047,MASK,AB_1ABB047_mask.nii.gz,151,463,464,1.0,1.0,3.0
AB_1ABB053,CT,AB_1ABB053_CT_reg.nii.gz,109,440,441,1.0,1.0,3.0
AB_1ABB053,MR,AB_1ABB053_MR.nii.gz,109,440,441,1.0,1.0,3.0
AB_1ABB053,MASK,AB_1ABB053_mask.nii.gz,109,440,441,1.0,1.0,3.0
